1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 830000004164B121
Is Mission Active?  true
Mission Start:  Tue Feb 18 08:53:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1105
Total Samples:  16457
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/10/20 6:53:00 AM,C,24.5
3/10/20 7:23:00 AM,C,25
3/10/20 7:53:00 AM,C,26
3/10/20 8:23:00 AM,C,26.5
3/10/20 8:53:00 AM,C,27
3/10/20 9:23:00 AM,C,27.5
3/10/20 9:53:00 AM,C,27.5
3/10/20 10:23:00 AM,C,28
3/10/20 10:53:00 AM,C,28.5
3/10/20 11:23:00 AM,C,28
3/10/20 11:53:00 AM,C,28.5
3/10/20 12:23:00 PM,C,28
3/10/20 12:53:00 PM,C,28
3/10/20 1:23:00 PM,C,29
3/10/20 1:53:00 PM,C,29
3/10/20 2:23:00 PM,C,28.5
3/10/20 2:53:00 PM,C,29
3/10/20 3:23:00 PM,C,30
3/10/20 3:53:00 PM,C,30.5
3/10/20 4:23:00 PM,C,28.5
3/10/20 4:53:00 PM,C,26.5
3/10/20 5:23:00 PM,C,26
3/10/20 5:53:00 PM,C,26
3/10/20 6:23:00 PM,C,25
3/10/20 6:53:00 PM,C,25
3/10/20 7:23:00 PM,C,24.5
3/10/20 7:53:00 PM,C,24.5
3/10/20 8:23:00 PM,C,24.5
3/10/20 8:53:00 PM,C,24.5
3/10/20 9:23:00 PM,C,24.5
3/10/20 9:53:00 PM,C,24.5
3/10/20 10:23:00 PM,C,24.5
3/10/20 10:53:00 PM,C,24.5
3/10/20 11:23:00 PM,C,24.5
3/10/20 11:53:00 PM,C,24.5
3/11/20 12:23:00 AM,C,24.5
3/11/20 12:53:00 AM,C,24.5
3/11/20 1:23:00 AM,C,24.5
3/11/20 1:53:00 AM,C,24.5
3/11/20 2:23:00 AM,C,24
3/11/20 2:53:00 AM,C,24
3/11/20 3:23:00 AM,C,24
3/11/20 3:53:00 AM,C,24
3/11/20 4:23:00 AM,C,23.5
3/11/20 4:53:00 AM,C,23
3/11/20 5:23:00 AM,C,23
3/11/20 5:53:00 AM,C,23
3/11/20 6:23:00 AM,C,22.5
3/11/20 6:53:00 AM,C,23
3/11/20 7:23:00 AM,C,23.5
3/11/20 7:53:00 AM,C,24
3/11/20 8:23:00 AM,C,25
3/11/20 8:53:00 AM,C,26
3/11/20 9:23:00 AM,C,27
3/11/20 9:53:00 AM,C,28.5
3/11/20 10:23:00 AM,C,28
3/11/20 10:53:00 AM,C,29
3/11/20 11:23:00 AM,C,28
3/11/20 11:53:00 AM,C,28.5
3/11/20 12:23:00 PM,C,29.5
3/11/20 12:53:00 PM,C,29.5
3/11/20 1:23:00 PM,C,30
3/11/20 1:53:00 PM,C,28.5
3/11/20 2:23:00 PM,C,29.5
3/11/20 2:53:00 PM,C,30
3/11/20 3:23:00 PM,C,30.5
3/11/20 3:53:00 PM,C,31.5
3/11/20 4:23:00 PM,C,31.5
3/11/20 4:53:00 PM,C,30.5
3/11/20 5:23:00 PM,C,28.5
3/11/20 5:53:00 PM,C,28
3/11/20 6:23:00 PM,C,27.5
3/11/20 6:53:00 PM,C,27
3/11/20 7:23:00 PM,C,26.5
3/11/20 7:53:00 PM,C,26.5
3/11/20 8:23:00 PM,C,26.5
3/11/20 8:53:00 PM,C,26.5
3/11/20 9:23:00 PM,C,26
3/11/20 9:53:00 PM,C,25.5
3/11/20 10:23:00 PM,C,25.5
3/11/20 10:53:00 PM,C,25.5
3/11/20 11:23:00 PM,C,26
3/11/20 11:53:00 PM,C,26
3/12/20 12:23:00 AM,C,25.5
3/12/20 12:53:00 AM,C,25.5
3/12/20 1:23:00 AM,C,25.5
3/12/20 1:53:00 AM,C,25.5
3/12/20 2:23:00 AM,C,25.5
3/12/20 2:53:00 AM,C,25.5
3/12/20 3:23:00 AM,C,25
3/12/20 3:53:00 AM,C,25
3/12/20 4:23:00 AM,C,25
3/12/20 4:53:00 AM,C,25
3/12/20 5:23:00 AM,C,25
3/12/20 5:53:00 AM,C,25
3/12/20 6:23:00 AM,C,25
3/12/20 6:53:00 AM,C,25
3/12/20 7:23:00 AM,C,25.5
3/12/20 7:53:00 AM,C,26.5
3/12/20 8:23:00 AM,C,27
3/12/20 8:53:00 AM,C,27.5
