1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 830000004164B121
Is Mission Active?  true
Mission Start:  Mon Mar 15 09:10:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1152
Total Samples:  35281
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/7/21 5:40:00 AM,C,24
4/7/21 6:10:00 AM,C,24
4/7/21 6:40:00 AM,C,24.5
4/7/21 7:10:00 AM,C,24.5
4/7/21 7:40:00 AM,C,24.5
4/7/21 8:10:00 AM,C,25
4/7/21 8:40:00 AM,C,25.5
4/7/21 9:10:00 AM,C,27
4/7/21 9:40:00 AM,C,26.5
4/7/21 10:10:00 AM,C,26
4/7/21 10:40:00 AM,C,27
4/7/21 11:10:00 AM,C,28
4/7/21 11:40:00 AM,C,28
4/7/21 12:10:00 PM,C,29.5
4/7/21 12:40:00 PM,C,29
4/7/21 1:10:00 PM,C,29
4/7/21 1:40:00 PM,C,29
4/7/21 2:10:00 PM,C,27
4/7/21 2:40:00 PM,C,28
4/7/21 3:10:00 PM,C,28
4/7/21 3:40:00 PM,C,27.5
4/7/21 4:10:00 PM,C,27
4/7/21 4:40:00 PM,C,27
4/7/21 5:10:00 PM,C,27
4/7/21 5:40:00 PM,C,26
4/7/21 6:10:00 PM,C,25.5
4/7/21 6:40:00 PM,C,25
4/7/21 7:10:00 PM,C,25.5
4/7/21 7:40:00 PM,C,25.5
4/7/21 8:10:00 PM,C,25
4/7/21 8:40:00 PM,C,25
4/7/21 9:10:00 PM,C,25
4/7/21 9:40:00 PM,C,25
4/7/21 10:10:00 PM,C,25
4/7/21 10:40:00 PM,C,25
4/7/21 11:10:00 PM,C,25
4/7/21 11:40:00 PM,C,24.5
4/8/21 12:10:00 AM,C,24.5
4/8/21 12:40:00 AM,C,24
4/8/21 1:10:00 AM,C,24
4/8/21 1:40:00 AM,C,24
4/8/21 2:10:00 AM,C,24
4/8/21 2:40:00 AM,C,24
4/8/21 3:10:00 AM,C,24
4/8/21 3:40:00 AM,C,23.5
4/8/21 4:10:00 AM,C,23.5
4/8/21 4:40:00 AM,C,23.5
4/8/21 5:10:00 AM,C,23.5
4/8/21 5:40:00 AM,C,24
4/8/21 6:10:00 AM,C,23.5
4/8/21 6:40:00 AM,C,23.5
4/8/21 7:10:00 AM,C,24
4/8/21 7:40:00 AM,C,24.5
4/8/21 8:10:00 AM,C,25
4/8/21 8:40:00 AM,C,25.5
