1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Fri Apr 06 00:22:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1152
Total Samples:  5763
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/28/00 3:22:00 AM,C,53.5
4/28/00 3:52:00 AM,C,50
4/28/00 4:22:00 AM,C,47
4/28/00 4:52:00 AM,C,44.5
4/28/00 5:22:00 AM,C,47
4/28/00 5:52:00 AM,C,40.5
4/28/00 6:22:00 AM,C,38
4/28/00 6:52:00 AM,C,35
4/28/00 7:22:00 AM,C,33.5
4/28/00 7:52:00 AM,C,31
4/28/00 8:22:00 AM,C,29
4/28/00 8:52:00 AM,C,26.5
4/28/00 9:22:00 AM,C,25.5
4/28/00 9:52:00 AM,C,25
4/28/00 10:22:00 AM,C,24.5
4/28/00 10:52:00 AM,C,24.5
4/28/00 11:22:00 AM,C,24.5
4/28/00 11:52:00 AM,C,24
4/28/00 12:22:00 PM,C,24
4/28/00 12:52:00 PM,C,24
4/28/00 1:22:00 PM,C,24
4/28/00 1:52:00 PM,C,24
4/28/00 2:22:00 PM,C,23.5
4/28/00 2:52:00 PM,C,23
4/28/00 3:22:00 PM,C,23
4/28/00 3:52:00 PM,C,23.5
4/28/00 4:22:00 PM,C,23.5
4/28/00 4:52:00 PM,C,23
4/28/00 5:22:00 PM,C,23
4/28/00 5:52:00 PM,C,22.5
4/28/00 6:22:00 PM,C,23
4/28/00 6:52:00 PM,C,23.5
4/28/00 7:22:00 PM,C,23
4/28/00 7:52:00 PM,C,23
4/28/00 8:22:00 PM,C,22.5
4/28/00 8:52:00 PM,C,22.5
4/28/00 9:22:00 PM,C,23.5
4/28/00 9:52:00 PM,C,24.5
4/28/00 10:22:00 PM,C,24
4/28/00 10:52:00 PM,C,24
4/28/00 11:22:00 PM,C,27
4/28/00 11:52:00 PM,C,34
4/29/00 12:22:00 AM,C,31.5
4/29/00 12:52:00 AM,C,32.5
4/29/00 1:22:00 AM,C,40.5
4/29/00 1:52:00 AM,C,41.5
4/29/00 2:22:00 AM,C,45
4/29/00 2:52:00 AM,C,45.5
4/29/00 3:22:00 AM,C,44
4/29/00 3:52:00 AM,C,36.5
4/29/00 4:22:00 AM,C,27.5
4/29/00 4:52:00 AM,C,24.5
4/29/00 5:22:00 AM,C,25
4/29/00 5:52:00 AM,C,27
4/29/00 6:22:00 AM,C,26
4/29/00 6:52:00 AM,C,27
4/29/00 7:22:00 AM,C,26
4/29/00 7:52:00 AM,C,25
4/29/00 8:22:00 AM,C,24.5
4/29/00 8:52:00 AM,C,23.5
4/29/00 9:22:00 AM,C,23.5
4/29/00 9:52:00 AM,C,23.5
4/29/00 10:22:00 AM,C,23.5
4/29/00 10:52:00 AM,C,23
4/29/00 11:22:00 AM,C,23.5
4/29/00 11:52:00 AM,C,23.5
4/29/00 12:22:00 PM,C,23.5
4/29/00 12:52:00 PM,C,23
4/29/00 1:22:00 PM,C,23
4/29/00 1:52:00 PM,C,22.5
4/29/00 2:22:00 PM,C,22.5
4/29/00 2:52:00 PM,C,22
4/29/00 3:22:00 PM,C,22
4/29/00 3:52:00 PM,C,22
4/29/00 4:22:00 PM,C,22
4/29/00 4:52:00 PM,C,22
4/29/00 5:22:00 PM,C,22
4/29/00 5:52:00 PM,C,21.5
4/29/00 6:22:00 PM,C,21.5
4/29/00 6:52:00 PM,C,21.5
4/29/00 7:22:00 PM,C,21.5
4/29/00 7:52:00 PM,C,22.5
4/29/00 8:22:00 PM,C,22.5
4/29/00 8:52:00 PM,C,22
4/29/00 9:22:00 PM,C,23
4/29/00 9:52:00 PM,C,25
4/29/00 10:22:00 PM,C,25
4/29/00 10:52:00 PM,C,26
4/29/00 11:22:00 PM,C,31
4/29/00 11:52:00 PM,C,32
