1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Fri Feb 04 09:59:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1631
Total Samples:  51416
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/12/22 12:59:00 AM,C,23.5
2/12/22 1:29:00 AM,C,23.5
2/12/22 1:59:00 AM,C,23
2/12/22 2:29:00 AM,C,21.5
2/12/22 2:59:00 AM,C,21
2/12/22 3:29:00 AM,C,21.5
2/12/22 3:59:00 AM,C,22
2/12/22 4:29:00 AM,C,22
2/12/22 4:59:00 AM,C,20.5
2/12/22 5:29:00 AM,C,21.5
2/12/22 5:59:00 AM,C,22.5
2/12/22 6:29:00 AM,C,23
2/12/22 6:59:00 AM,C,22.5
2/12/22 7:29:00 AM,C,23
2/12/22 7:59:00 AM,C,23.5
2/12/22 8:29:00 AM,C,25.5
2/12/22 8:59:00 AM,C,28
2/12/22 9:29:00 AM,C,31
2/12/22 9:59:00 AM,C,34.5
2/12/22 10:29:00 AM,C,35.5
2/12/22 10:59:00 AM,C,39
2/12/22 11:29:00 AM,C,39
2/12/22 11:59:00 AM,C,38.5
2/12/22 12:29:00 PM,C,36.5
2/12/22 12:59:00 PM,C,24
2/12/22 1:29:00 PM,C,27
2/12/22 1:59:00 PM,C,28.5
2/12/22 2:29:00 PM,C,23.5
2/12/22 2:59:00 PM,C,26.5
2/12/22 3:29:00 PM,C,30
2/12/22 3:59:00 PM,C,23
2/12/22 4:29:00 PM,C,25
2/12/22 4:59:00 PM,C,27
2/12/22 5:29:00 PM,C,24
2/12/22 5:59:00 PM,C,23
2/12/22 6:29:00 PM,C,22.5
2/12/22 6:59:00 PM,C,22.5
2/12/22 7:29:00 PM,C,21.5
2/12/22 7:59:00 PM,C,22
2/12/22 8:29:00 PM,C,22
2/12/22 8:59:00 PM,C,22
2/12/22 9:29:00 PM,C,22.5
2/12/22 9:59:00 PM,C,22
2/12/22 10:29:00 PM,C,21.5
2/12/22 10:59:00 PM,C,22
2/12/22 11:29:00 PM,C,22
2/12/22 11:59:00 PM,C,22.5
2/13/22 12:29:00 AM,C,22.5
2/13/22 12:59:00 AM,C,23
2/13/22 1:29:00 AM,C,22
2/13/22 1:59:00 AM,C,22
2/13/22 2:29:00 AM,C,22
2/13/22 2:59:00 AM,C,22
2/13/22 3:29:00 AM,C,22.5
2/13/22 3:59:00 AM,C,22.5
2/13/22 4:29:00 AM,C,22.5
2/13/22 4:59:00 AM,C,22
2/13/22 5:29:00 AM,C,21.5
2/13/22 5:59:00 AM,C,22
2/13/22 6:29:00 AM,C,22
2/13/22 6:59:00 AM,C,22.5
2/13/22 7:29:00 AM,C,22
2/13/22 7:59:00 AM,C,24
2/13/22 8:29:00 AM,C,24.5
2/13/22 8:59:00 AM,C,23.5
2/13/22 9:29:00 AM,C,29.5
2/13/22 9:59:00 AM,C,34.5
2/13/22 10:29:00 AM,C,34
2/13/22 10:59:00 AM,C,38
2/13/22 11:29:00 AM,C,35.5
2/13/22 11:59:00 AM,C,41
2/13/22 12:29:00 PM,C,34
2/13/22 12:59:00 PM,C,28.5
2/13/22 1:29:00 PM,C,26.5
2/13/22 1:59:00 PM,C,24.5
2/13/22 2:29:00 PM,C,36
2/13/22 2:59:00 PM,C,30
2/13/22 3:29:00 PM,C,26
2/13/22 3:59:00 PM,C,29.5
2/13/22 4:29:00 PM,C,28.5
2/13/22 4:59:00 PM,C,27.5
2/13/22 5:29:00 PM,C,26
2/13/22 5:59:00 PM,C,25
2/13/22 6:29:00 PM,C,24
2/13/22 6:59:00 PM,C,23.5
2/13/22 7:29:00 PM,C,23.5
2/13/22 7:59:00 PM,C,23.5
2/13/22 8:29:00 PM,C,23
2/13/22 8:59:00 PM,C,23
2/13/22 9:29:00 PM,C,22.5
2/13/22 9:59:00 PM,C,22
2/13/22 10:29:00 PM,C,23.5
2/13/22 10:59:00 PM,C,23.5
2/13/22 11:29:00 PM,C,23.5
2/13/22 11:59:00 PM,C,24
2/14/22 12:29:00 AM,C,24
2/14/22 12:59:00 AM,C,23.5
2/14/22 1:29:00 AM,C,23.5
2/14/22 1:59:00 AM,C,23.5
2/14/22 2:29:00 AM,C,23.5
2/14/22 2:59:00 AM,C,24
2/14/22 3:29:00 AM,C,23.5
2/14/22 3:59:00 AM,C,23.5
2/14/22 4:29:00 AM,C,23.5
2/14/22 4:59:00 AM,C,23.5
2/14/22 5:29:00 AM,C,23.5
2/14/22 5:59:00 AM,C,22.5
2/14/22 6:29:00 AM,C,22.5
2/14/22 6:59:00 AM,C,22.5
2/14/22 7:29:00 AM,C,23
2/14/22 7:59:00 AM,C,25.5
2/14/22 8:29:00 AM,C,26.5
2/14/22 8:59:00 AM,C,30.5
2/14/22 9:29:00 AM,C,33.5
2/14/22 9:59:00 AM,C,36
2/14/22 10:29:00 AM,C,37.5
2/14/22 10:59:00 AM,C,39
2/14/22 11:29:00 AM,C,40
2/14/22 11:59:00 AM,C,41
2/14/22 12:29:00 PM,C,43
2/14/22 12:59:00 PM,C,43.5
2/14/22 1:29:00 PM,C,39
2/14/22 1:59:00 PM,C,40.5
2/14/22 2:29:00 PM,C,38.5
2/14/22 2:59:00 PM,C,37.5
2/14/22 3:29:00 PM,C,38
2/14/22 3:59:00 PM,C,35.5
2/14/22 4:29:00 PM,C,33.5
2/14/22 4:59:00 PM,C,32
2/14/22 5:29:00 PM,C,28.5
2/14/22 5:59:00 PM,C,27
2/14/22 6:29:00 PM,C,24.5
2/14/22 6:59:00 PM,C,24
2/14/22 7:29:00 PM,C,23.5
2/14/22 7:59:00 PM,C,23
2/14/22 8:29:00 PM,C,23
2/14/22 8:59:00 PM,C,23
2/14/22 9:29:00 PM,C,23
2/14/22 9:59:00 PM,C,23.5
2/14/22 10:29:00 PM,C,23.5
2/14/22 10:59:00 PM,C,23
2/14/22 11:29:00 PM,C,23.5
2/14/22 11:59:00 PM,C,22
2/15/22 12:29:00 AM,C,22
2/15/22 12:59:00 AM,C,22.5
2/15/22 1:29:00 AM,C,22
2/15/22 1:59:00 AM,C,22
2/15/22 2:29:00 AM,C,22.5
2/15/22 2:59:00 AM,C,22.5
2/15/22 3:29:00 AM,C,22.5
2/15/22 3:59:00 AM,C,22.5
2/15/22 4:29:00 AM,C,21.5
2/15/22 4:59:00 AM,C,21
2/15/22 5:29:00 AM,C,21
2/15/22 5:59:00 AM,C,21.5
2/15/22 6:29:00 AM,C,21.5
2/15/22 6:59:00 AM,C,21.5
2/15/22 7:29:00 AM,C,22.5
2/15/22 7:59:00 AM,C,25
2/15/22 8:29:00 AM,C,28.5
2/15/22 8:59:00 AM,C,31
2/15/22 9:29:00 AM,C,34
2/15/22 9:59:00 AM,C,35.5
2/15/22 10:29:00 AM,C,37.5
2/15/22 10:59:00 AM,C,38.5
2/15/22 11:29:00 AM,C,42
2/15/22 11:59:00 AM,C,41.5
2/15/22 12:29:00 PM,C,44
2/15/22 12:59:00 PM,C,43
2/15/22 1:29:00 PM,C,44.5
2/15/22 1:59:00 PM,C,42.5
2/15/22 2:29:00 PM,C,41.5
2/15/22 2:59:00 PM,C,42
2/15/22 3:29:00 PM,C,37.5
2/15/22 3:59:00 PM,C,36.5
2/15/22 4:29:00 PM,C,25.5
2/15/22 4:59:00 PM,C,28.5
2/15/22 5:29:00 PM,C,26.5
2/15/22 5:59:00 PM,C,25
2/15/22 6:29:00 PM,C,24.5
2/15/22 6:59:00 PM,C,24
2/15/22 7:29:00 PM,C,23.5
2/15/22 7:59:00 PM,C,23.5
2/15/22 8:29:00 PM,C,23.5
2/15/22 8:59:00 PM,C,23.5
2/15/22 9:29:00 PM,C,23.5
2/15/22 9:59:00 PM,C,23
2/15/22 10:29:00 PM,C,23.5
2/15/22 10:59:00 PM,C,23.5
2/15/22 11:29:00 PM,C,23.5
2/15/22 11:59:00 PM,C,23
2/16/22 12:29:00 AM,C,23
2/16/22 12:59:00 AM,C,23
2/16/22 1:29:00 AM,C,23
2/16/22 1:59:00 AM,C,23
2/16/22 2:29:00 AM,C,23
2/16/22 2:59:00 AM,C,23
2/16/22 3:29:00 AM,C,23
2/16/22 3:59:00 AM,C,23
2/16/22 4:29:00 AM,C,22.5
2/16/22 4:59:00 AM,C,22
2/16/22 5:29:00 AM,C,22.5
2/16/22 5:59:00 AM,C,22
2/16/22 6:29:00 AM,C,22
2/16/22 6:59:00 AM,C,22
2/16/22 7:29:00 AM,C,22.5
2/16/22 7:59:00 AM,C,23.5
2/16/22 8:29:00 AM,C,25
2/16/22 8:59:00 AM,C,26
2/16/22 9:29:00 AM,C,27
2/16/22 9:59:00 AM,C,27.5
2/16/22 10:29:00 AM,C,34
2/16/22 10:59:00 AM,C,36
2/16/22 11:29:00 AM,C,34.5
2/16/22 11:59:00 AM,C,38
2/16/22 12:29:00 PM,C,32
2/16/22 12:59:00 PM,C,28.5
2/16/22 1:29:00 PM,C,36.5
2/16/22 1:59:00 PM,C,37
2/16/22 2:29:00 PM,C,35
2/16/22 2:59:00 PM,C,35.5
2/16/22 3:29:00 PM,C,35
2/16/22 3:59:00 PM,C,33
2/16/22 4:29:00 PM,C,31.5
2/16/22 4:59:00 PM,C,29.5
2/16/22 5:29:00 PM,C,27.5
2/16/22 5:59:00 PM,C,26
2/16/22 6:29:00 PM,C,25
2/16/22 6:59:00 PM,C,25
2/16/22 7:29:00 PM,C,24.5
2/16/22 7:59:00 PM,C,24.5
2/16/22 8:29:00 PM,C,24.5
2/16/22 8:59:00 PM,C,24.5
2/16/22 9:29:00 PM,C,24
2/16/22 9:59:00 PM,C,24
2/16/22 10:29:00 PM,C,24
2/16/22 10:59:00 PM,C,24
2/16/22 11:29:00 PM,C,24
2/16/22 11:59:00 PM,C,24
2/17/22 12:29:00 AM,C,24
2/17/22 12:59:00 AM,C,24
2/17/22 1:29:00 AM,C,24
2/17/22 1:59:00 AM,C,23.5
2/17/22 2:29:00 AM,C,23.5
2/17/22 2:59:00 AM,C,23.5
2/17/22 3:29:00 AM,C,23.5
2/17/22 3:59:00 AM,C,24.5
2/17/22 4:29:00 AM,C,24
2/17/22 4:59:00 AM,C,24
2/17/22 5:29:00 AM,C,23.5
2/17/22 5:59:00 AM,C,23.5
2/17/22 6:29:00 AM,C,23.5
2/17/22 6:59:00 AM,C,23
2/17/22 7:29:00 AM,C,23.5
2/17/22 7:59:00 AM,C,26
2/17/22 8:29:00 AM,C,29
2/17/22 8:59:00 AM,C,29
2/17/22 9:29:00 AM,C,30.5
2/17/22 9:59:00 AM,C,32.5
2/17/22 10:29:00 AM,C,34.5
2/17/22 10:59:00 AM,C,37
2/17/22 11:29:00 AM,C,39
2/17/22 11:59:00 AM,C,39
2/17/22 12:29:00 PM,C,38
2/17/22 12:59:00 PM,C,37.5
2/17/22 1:29:00 PM,C,37.5
2/17/22 1:59:00 PM,C,39.5
2/17/22 2:29:00 PM,C,34.5
2/17/22 2:59:00 PM,C,36
2/17/22 3:29:00 PM,C,30
2/17/22 3:59:00 PM,C,34.5
2/17/22 4:29:00 PM,C,32.5
2/17/22 4:59:00 PM,C,31
2/17/22 5:29:00 PM,C,28
2/17/22 5:59:00 PM,C,26
2/17/22 6:29:00 PM,C,24.5
2/17/22 6:59:00 PM,C,24.5
2/17/22 7:29:00 PM,C,24
2/17/22 7:59:00 PM,C,24
2/17/22 8:29:00 PM,C,24
2/17/22 8:59:00 PM,C,23.5
2/17/22 9:29:00 PM,C,24
2/17/22 9:59:00 PM,C,23
2/17/22 10:29:00 PM,C,22.5
2/17/22 10:59:00 PM,C,23
2/17/22 11:29:00 PM,C,23.5
2/17/22 11:59:00 PM,C,23.5
2/18/22 12:29:00 AM,C,23
2/18/22 12:59:00 AM,C,23.5
2/18/22 1:29:00 AM,C,23
2/18/22 1:59:00 AM,C,23
2/18/22 2:29:00 AM,C,23
2/18/22 2:59:00 AM,C,23
2/18/22 3:29:00 AM,C,21.5
2/18/22 3:59:00 AM,C,21.5
2/18/22 4:29:00 AM,C,21.5
2/18/22 4:59:00 AM,C,21.5
2/18/22 5:29:00 AM,C,21.5
2/18/22 5:59:00 AM,C,21
2/18/22 6:29:00 AM,C,21.5
2/18/22 6:59:00 AM,C,21.5
2/18/22 7:29:00 AM,C,22
2/18/22 7:59:00 AM,C,22.5
2/18/22 8:29:00 AM,C,24
2/18/22 8:59:00 AM,C,28
2/18/22 9:29:00 AM,C,25.5
2/18/22 9:59:00 AM,C,31.5
2/18/22 10:29:00 AM,C,36
