1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AE00000041A21B21
Is Mission Active?  true
Mission Start:  Mon Feb 07 10:04:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1488
Total Samples:  5709
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/9/22 2:34:00 PM,C,27.5
3/9/22 3:04:00 PM,C,27.5
3/9/22 3:34:00 PM,C,28.5
3/9/22 4:04:00 PM,C,29.5
3/9/22 4:34:00 PM,C,31
3/9/22 5:04:00 PM,C,31.5
3/9/22 5:34:00 PM,C,29
3/9/22 6:04:00 PM,C,26.5
3/9/22 6:34:00 PM,C,25
3/9/22 7:04:00 PM,C,24.5
3/9/22 7:34:00 PM,C,24
3/9/22 8:04:00 PM,C,24
3/9/22 8:34:00 PM,C,24
3/9/22 9:04:00 PM,C,24
3/9/22 9:34:00 PM,C,24
3/9/22 10:04:00 PM,C,24.5
3/9/22 10:34:00 PM,C,24.5
3/9/22 11:04:00 PM,C,24
3/9/22 11:34:00 PM,C,23.5
3/10/22 12:04:00 AM,C,24
3/10/22 12:34:00 AM,C,24
3/10/22 1:04:00 AM,C,24
3/10/22 1:34:00 AM,C,23.5
3/10/22 2:04:00 AM,C,23.5
3/10/22 2:34:00 AM,C,23.5
3/10/22 3:04:00 AM,C,24
3/10/22 3:34:00 AM,C,23.5
3/10/22 4:04:00 AM,C,24
3/10/22 4:34:00 AM,C,24
3/10/22 5:04:00 AM,C,24
3/10/22 5:34:00 AM,C,24
3/10/22 6:04:00 AM,C,24
3/10/22 6:34:00 AM,C,24
3/10/22 7:04:00 AM,C,24.5
3/10/22 7:34:00 AM,C,25
3/10/22 8:04:00 AM,C,25.5
3/10/22 8:34:00 AM,C,26.5
3/10/22 9:04:00 AM,C,27
3/10/22 9:34:00 AM,C,26.5
